Tweets,Subjectivity,Polarity
พักรับชมสิ่งที่น่าสนใจซักครู่ ฉันหายไปเป็นชมเพราะตัดคลิปนี้ 18พฤศจิกาไปราษฎร์ประสงค์ ม็อบ18พฤศจิกา ,0.0,0.0
สาดสีเหลืองเข้าไปแล้ว สุดจัด เอาอีกๆๆ ม็อบ18พฤศจิกา ,0.0,0.0
พักรับชมสิ่งที่น่าสนใจซักครู่ ฉันหายไปเป็นชมเพราะตัดคลิปนี้ 18พฤศจิกาไปราษฎร์ประสงค์ ม็อบ18พฤศจิกา ,0.0,0.0
นักข่าวช่องvoice tv บอกว่าเป็ดตัวสุดท้ายน่าจะชื่อเล่นว่าประวิตร เพราะเชื่องช้า โคตรปั่น555555 ม็อบ18พฤศจิกา ,0.0,0.0
"ล่าสุดสถานทูตไทยในเกาหลี แจ้งจับคนที่ติดโปสเตอร์เตอร์สนับสนุนประชาธิปไตยที่แล้วจ้าา
ม็อบ18พฤศจิกา ",0.0,0.0
ผู้ชุมนุมใช้ความรุนแรงมาก ดูปืนที่ยิงใส่ตำรวจซะก่อน อานุภาพสูง หากตำรวจบาดเจ็บขึ้นมา จะว่ายังไงคะ สลิ่มเตรียมดิ้น ม็อบ18พ…,0.0,0.0
พักรับชมสิ่งที่น่าสนใจซักครู่ ฉันหายไปเป็นชมเพราะตัดคลิปนี้ 18พฤศจิกาไปราษฎร์ประสงค์ ม็อบ18พฤศจิกา ,0.0,0.0
"เด็กอาชีวะ ก็คือเด็กม.ปลายอะ แล้วเขาเก่งมาๆเลยนะ แต่ประเทศนี้แม่งสร้างภาพจำไปว่าเขาตีกันมาตลอด แล้วไม่ให้ค่าเขาอะ
 ม็อบ18พฤศ…",0.0,0.0
"มีการตะโกนแบนอัมริมทร์ใส่นักข่าวและกล้องช่องอัมรินทร์

ม็อบ18พฤศจิกา ",0.0,0.0
ตำรวจใช้โดรนบินสังเกตการณ์แล้วค่ะ   อย่าเอาเลเซอร์ Pointer สีเขียวไปส่องนะคะ เพราะแสงเลเซอร์สามารถรบกวนการบินของโดรนได้ เดี๋ยว…,0.0,0.0
สาดสีเหลืองเข้าไปแล้ว สุดจัด เอาอีกๆๆ ม็อบ18พฤศจิกา ,0.0,0.0
"ทุกคนคะ มิว ลักษณ์นารา ออกมาเป็นกระบอกเสียงประชาธิปไตยล่าสุดโดนแคนเซิลละครแล้วค่ะ 
ใครอยากจากงานนางติดต่อเบอร์และไอดีไลน์…",0.0,0.0
